"title","sort_order","album_id"
"FWC",0,"39f61f13-187c-4692-beea-67d06c97f1ac"
"MEX",1,"39f61f13-187c-4692-beea-67d06c97f1ac"
"RSA",2,"39f61f13-187c-4692-beea-67d06c97f1ac"
"KOR",3,"39f61f13-187c-4692-beea-67d06c97f1ac"
"CZE",4,"39f61f13-187c-4692-beea-67d06c97f1ac"
"CAN",5,"39f61f13-187c-4692-beea-67d06c97f1ac"
"BIH",6,"39f61f13-187c-4692-beea-67d06c97f1ac"
"QAT",7,"39f61f13-187c-4692-beea-67d06c97f1ac"
"SUI",8,"39f61f13-187c-4692-beea-67d06c97f1ac"
"BRA",9,"39f61f13-187c-4692-beea-67d06c97f1ac"
"MAR",10,"39f61f13-187c-4692-beea-67d06c97f1ac"
"HAI",11,"39f61f13-187c-4692-beea-67d06c97f1ac"
"SCO",12,"39f61f13-187c-4692-beea-67d06c97f1ac"
"USA",13,"39f61f13-187c-4692-beea-67d06c97f1ac"
"PAR",14,"39f61f13-187c-4692-beea-67d06c97f1ac"
"AUS",15,"39f61f13-187c-4692-beea-67d06c97f1ac"
"TUR",16,"39f61f13-187c-4692-beea-67d06c97f1ac"
"GER",17,"39f61f13-187c-4692-beea-67d06c97f1ac"
"CUW",18,"39f61f13-187c-4692-beea-67d06c97f1ac"
"CIV",19,"39f61f13-187c-4692-beea-67d06c97f1ac"
"ECU",20,"39f61f13-187c-4692-beea-67d06c97f1ac"
"NED",21,"39f61f13-187c-4692-beea-67d06c97f1ac"
"JPN",22,"39f61f13-187c-4692-beea-67d06c97f1ac"
"SWE",23,"39f61f13-187c-4692-beea-67d06c97f1ac"
"TUN",24,"39f61f13-187c-4692-beea-67d06c97f1ac"
"BEL",25,"39f61f13-187c-4692-beea-67d06c97f1ac"
"EGY",26,"39f61f13-187c-4692-beea-67d06c97f1ac"
"IRN",27,"39f61f13-187c-4692-beea-67d06c97f1ac"
"NZL",28,"39f61f13-187c-4692-beea-67d06c97f1ac"
"ESP",29,"39f61f13-187c-4692-beea-67d06c97f1ac"
"CPV",30,"39f61f13-187c-4692-beea-67d06c97f1ac"
"KSA",31,"39f61f13-187c-4692-beea-67d06c97f1ac"
"URU",32,"39f61f13-187c-4692-beea-67d06c97f1ac"
"FRA",33,"39f61f13-187c-4692-beea-67d06c97f1ac"
"SEN",34,"39f61f13-187c-4692-beea-67d06c97f1ac"
"IRQ",35,"39f61f13-187c-4692-beea-67d06c97f1ac"
"NOR",36,"39f61f13-187c-4692-beea-67d06c97f1ac"
"ARG",37,"39f61f13-187c-4692-beea-67d06c97f1ac"
"ALG",38,"39f61f13-187c-4692-beea-67d06c97f1ac"
"AUT",39,"39f61f13-187c-4692-beea-67d06c97f1ac"
"JOR",40,"39f61f13-187c-4692-beea-67d06c97f1ac"
"POR",41,"39f61f13-187c-4692-beea-67d06c97f1ac"
"COD",42,"39f61f13-187c-4692-beea-67d06c97f1ac"
"UZB",43,"39f61f13-187c-4692-beea-67d06c97f1ac"
"COL",44,"39f61f13-187c-4692-beea-67d06c97f1ac"
"ENG",45,"39f61f13-187c-4692-beea-67d06c97f1ac"
"CRO",46,"39f61f13-187c-4692-beea-67d06c97f1ac"
"GHA",47,"39f61f13-187c-4692-beea-67d06c97f1ac"
"PAN",48,"39f61f13-187c-4692-beea-67d06c97f1ac"
"CC",49,"39f61f13-187c-4692-beea-67d06c97f1ac"
